                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.2045,                0.62857,                  1.006,                0.77376,                 0.6628,                0.71643,                0.38333,                 1.4343,                0.78755,                 1.1452,                0.00483,                0.00483,                0.00483
                     96,                 1.1982,                0.62199,                 1.0061,                0.76708,                0.66877,                 0.7172,                 0.3839,                 1.4313,                0.79657,                 1.1422,               0.004775,               0.004775,               0.004775
                     97,                 1.2067,                0.62754,                 1.0084,                0.76244,                0.67893,                0.71987,                0.38507,                  1.431,                0.78463,                 1.1412,                0.00472,                0.00472,                0.00472
                     98,                 1.1979,                0.61887,                 1.0046,                0.77108,                0.66976,                0.71988,                0.38415,                 1.4415,                0.78675,                 1.1446,               0.004665,               0.004665,               0.004665
                     99,                 1.1943,                0.61437,                0.99876,                0.76816,                0.67042,                0.71812,                 0.3825,                 1.4364,                  0.793,                 1.1412,                0.00461,                0.00461,                0.00461
                    100,                 1.1968,                0.61722,                 1.0012,                0.76023,                0.67281,                0.71367,                0.38206,                 1.4331,                0.79203,                  1.139,               0.004555,               0.004555,               0.004555
                    101,                 1.1917,                0.61323,                0.99924,                0.76424,                0.66711,                0.71627,                0.38126,                 1.4391,                 0.7934,                 1.1399,                 0.0045,                 0.0045,                 0.0045
                    102,                  1.184,                0.61001,                0.99514,                0.76817,                0.66412,                0.71751,                0.38277,                 1.4258,                0.78874,                 1.1391,               0.004445,               0.004445,               0.004445
                    103,                 1.1892,                 0.6122,                0.99666,                0.76387,                0.67252,                0.71802,                0.38391,                 1.4278,                0.78643,                 1.1415,                0.00439,                0.00439,                0.00439
                    104,                 1.1749,                0.60499,                0.99713,                0.76108,                0.67407,                0.71787,                0.38403,                 1.4268,                0.78463,                 1.1397,               0.004335,               0.004335,               0.004335
                    105,                 1.1817,                0.60834,                0.99894,                0.76227,                0.67828,                0.71771,                0.38358,                 1.4268,                0.78475,                 1.1396,                0.00428,                0.00428,                0.00428
                    106,                 1.1768,                0.60394,                0.99179,                0.75731,                0.67507,                0.71544,                0.38636,                  1.424,                0.78227,                   1.14,               0.004225,               0.004225,               0.004225
