                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.1911,                0.61819,                 1.0041,                0.75064,                0.67971,                0.71527,                0.38489,                 1.4303,                0.76614,                  1.135,               0.006238,               0.006238,               0.006238
                    116,                 1.1934,                0.62105,                 1.0046,                0.74691,                  0.682,                 0.7145,                0.38511,                 1.4318,                0.77204,                 1.1379,               0.006205,               0.006205,               0.006205
                    117,                 1.1916,                0.61505,                 1.0018,                0.75205,                0.67938,                0.71479,                 0.3851,                 1.4303,                0.77935,                 1.1409,               0.006172,               0.006172,               0.006172
                    118,                 1.1904,                0.61406,                0.99944,                0.75552,                 0.6754,                0.71407,                0.38547,                 1.4341,                0.77947,                  1.147,               0.006139,               0.006139,               0.006139
                    119,                 1.1881,                0.61424,                0.99512,                0.75955,                0.67473,                0.71532,                0.38535,                 1.4333,                0.77387,                 1.1417,               0.006106,               0.006106,               0.006106
                    120,                 1.1818,                0.61321,                0.99914,                0.76306,                0.66845,                0.71478,                0.38675,                 1.4354,                0.77874,                 1.1434,               0.006073,               0.006073,               0.006073
                    121,                 1.1917,                0.61491,                0.99813,                0.77481,                 0.6628,                0.71507,                0.38654,                 1.4351,                0.78069,                 1.1431,                0.00604,                0.00604,                0.00604
                    122,                 1.1786,                0.61308,                0.99959,                0.75731,                0.67606,                0.71559,                0.38659,                 1.4342,                0.77811,                 1.1393,               0.006007,               0.006007,               0.006007
                    123,                 1.1917,                0.61113,                0.99743,                0.77574,                0.66751,                0.71657,                0.38757,                 1.4337,                0.77592,                 1.1386,               0.005974,               0.005974,               0.005974
                    124,                  1.179,                0.60629,                0.99809,                0.76713,                0.67374,                 0.7169,                0.38668,                 1.4337,                 0.7745,                 1.1384,               0.005941,               0.005941,               0.005941
                    125,                 1.1803,                0.61061,                0.99649,                0.76087,                 0.6754,                0.71783,                0.38718,                 1.4331,                0.77556,                 1.1379,               0.005908,               0.005908,               0.005908
                    126,                  1.182,                0.60677,                0.99252,                0.76358,                0.67145,                0.72008,                0.38761,                 1.4319,                0.77443,                 1.1375,               0.005875,               0.005875,               0.005875
                    127,                 1.1763,                 0.6024,                0.99339,                0.76347,                 0.6754,                0.72044,                0.38918,                 1.4284,                 0.7705,                 1.1362,               0.005842,               0.005842,               0.005842
                    128,                 1.1771,                 0.6075,                0.99555,                0.76579,                 0.6744,                0.72028,                0.38715,                 1.4326,                0.77533,                 1.1405,               0.005809,               0.005809,               0.005809
                    129,                 1.1748,                0.60392,                0.99608,                 0.7653,                 0.6757,                0.71994,                0.38772,                 1.4346,                0.78044,                  1.144,               0.005776,               0.005776,               0.005776
                    130,                 1.1695,                0.60138,                0.99489,                0.76391,                0.67698,                0.71993,                0.38731,                  1.437,                0.77879,                 1.1459,               0.005743,               0.005743,               0.005743
                    131,                 1.1635,                0.59569,                0.98753,                0.75952,                0.67706,                0.72009,                0.38756,                  1.435,                0.77835,                 1.1447,                0.00571,                0.00571,                0.00571
                    132,                 1.1735,                0.59945,                0.99233,                0.76132,                0.67686,                0.71931,                0.38767,                 1.4372,                0.77934,                 1.1453,               0.005677,               0.005677,               0.005677
                    133,                 1.1665,                0.59892,                0.99264,                0.75903,                0.67885,                0.71934,                0.38696,                 1.4383,                0.77975,                  1.146,               0.005644,               0.005644,               0.005644
                    134,                 1.1644,                0.59686,                0.98838,                0.76178,                0.67971,                0.72028,                0.38679,                 1.4362,                0.77966,                  1.145,               0.005611,               0.005611,               0.005611
                    135,                 1.1714,                0.60211,                0.99331,                0.77197,                0.67572,                0.72121,                0.38718,                  1.437,                0.77958,                  1.145,               0.005578,               0.005578,               0.005578
                    136,                 1.1613,                0.60084,                0.99158,                0.76604,                0.68069,                0.72187,                0.38715,                  1.437,                0.78193,                 1.1448,               0.005545,               0.005545,               0.005545
                    137,                 1.1633,                0.59417,                 0.9883,                0.77078,                0.67407,                0.72033,                0.38715,                 1.4356,                0.78166,                 1.1416,               0.005512,               0.005512,               0.005512
                    138,                 1.1568,                 0.5892,                0.98949,                0.77313,                0.67208,                0.72273,                0.38757,                 1.4354,                0.78146,                 1.1408,               0.005479,               0.005479,               0.005479
                    139,                 1.1548,                0.59229,                0.98661,                0.77455,                0.67341,                0.72407,                0.38858,                 1.4329,                0.78069,                 1.1403,               0.005446,               0.005446,               0.005446
                    140,                 1.1566,                0.59264,                0.98814,                0.78455,                0.66412,                0.72427,                0.38873,                 1.4336,                0.78358,                 1.1412,               0.005413,               0.005413,               0.005413
                    141,                 1.1523,                0.58995,                 0.9896,                0.78604,                0.66081,                 0.7224,                0.38944,                 1.4325,                0.77956,                 1.1417,                0.00538,                0.00538,                0.00538
                    142,                 1.1487,                0.58905,                0.98672,                0.78727,                0.65849,                 0.7217,                0.38871,                 1.4329,                0.77756,                 1.1415,               0.005347,               0.005347,               0.005347
                    143,                 1.1515,                0.58815,                0.98192,                0.76845,                0.67142,                0.72275,                0.38852,                 1.4331,                0.77743,                  1.141,               0.005314,               0.005314,               0.005314
                    144,                 1.1512,                0.59012,                0.98881,                0.79196,                0.65381,                0.72178,                0.38849,                 1.4327,                0.77613,                 1.1412,               0.005281,               0.005281,               0.005281
                    145,                 1.1491,                0.58952,                0.98448,                0.80245,                0.65053,                0.72319,                  0.388,                 1.4352,                0.77603,                 1.1421,               0.005248,               0.005248,               0.005248
                    146,                  1.151,                0.58683,                0.98769,                 0.8043,                 0.6492,                0.72221,                0.38817,                 1.4361,                0.77466,                 1.1426,               0.005215,               0.005215,               0.005215
                    147,                 1.1411,                0.58066,                0.98336,                0.80126,                0.64968,                0.72173,                0.38841,                 1.4341,                0.77445,                 1.1407,               0.005182,               0.005182,               0.005182
                    148,                 1.1438,                0.58251,                0.98504,                0.79948,                0.65119,                0.72148,                0.38785,                 1.4353,                  0.775,                 1.1404,               0.005149,               0.005149,               0.005149
                    149,                 1.1402,                0.58109,                0.98409,                0.78755,                0.65759,                0.72101,                0.38824,                 1.4368,                0.77696,                 1.1413,               0.005116,               0.005116,               0.005116
                    150,                 1.1387,                0.58606,                0.98377,                0.80144,                0.64987,                0.72112,                0.38708,                 1.4376,                0.77862,                 1.1404,               0.005083,               0.005083,               0.005083
                    151,                 1.1349,                0.57928,                0.97992,                0.80241,                0.64854,                0.72125,                0.38686,                 1.4385,                0.78038,                 1.1408,                0.00505,                0.00505,                0.00505
                    152,                 1.1424,                 0.5822,                0.98065,                0.79794,                0.65252,                0.72401,                0.38744,                  1.441,                0.78161,                  1.142,               0.005017,               0.005017,               0.005017
                    153,                 1.1333,                0.58174,                0.98074,                0.79436,                0.65252,                 0.7213,                0.38751,                 1.4391,                0.78231,                  1.141,               0.004984,               0.004984,               0.004984
                    154,                 1.1357,                0.57871,                0.98155,                0.79799,                0.65096,                0.72295,                0.38768,                 1.4385,                0.78232,                 1.1407,               0.004951,               0.004951,               0.004951
                    155,                 1.1352,                0.57751,                0.97871,                0.79651,                0.65153,                0.72119,                0.38734,                 1.4404,                0.78256,                  1.142,               0.004918,               0.004918,               0.004918
                    156,                 1.1329,                0.57428,                0.97552,                 0.7965,                0.65252,                0.72121,                0.38674,                 1.4408,                0.78259,                 1.1425,               0.004885,               0.004885,               0.004885
